|   ID | Manufacturer_Name                          | City        | State           |
|  384 | Fablestreet Lifestyle Solutions Pvt Ltd   | Gurgaon      | Haryana         |
|  385 | -                                         | Surat        | Gujarat         |
|  386 | Cutiekins Private Limited                 | Delhi        | Delhi           |
|  387 | JOVK DESIGN                               | Surat        | Gujarat         |
|  388 | -                                         | Surat        | Gujarat         |
|  389 | -                                         | Surat        | Gujarat         |
|  390 | SWARR                                     | NOIDA        | UTTAR PRADESH   |
|  391 | Bhama Designs Private Limited             | Delhi        | Delhi           |
|  392 | FALCON APPARELS                           | Gurugram     | Haryana         |
|  393 | Bhama Designs Private Limited             | -            | -               |
|  394 | -                                         | -            | -               |
|  395 | -                                         | SURAT        | Gujarat         |
|  396 | LAXMI TRADING CORPORATION                 | Howrah       | West Bengal     |
